text,intent
привет,greeting
здравствуй,greeting
здравствуйте,greeting
добрый день,greeting
доброе утро,greeting
добрый вечер,greeting
приветствую,greeting
здравия желаю,greeting
салют,greeting
здорово,greeting
приветик,greeting
хай,greeting
доброго времени суток,greeting
рад вас видеть,greeting
приветствую вас,greeting
мое почтение,greeting
здрасте,greeting
доброго здоровья,greeting
приветствую всех,greeting
здравствуйте всем,greeting
привет как дела,greeting
здравствуйте как жизнь,greeting
добрый день всем,greeting
здравствуйте рад видеть,greeting
приветствую рад встрече,greeting
здравствуй как настроение,greeting
доброе утро всем,greeting
добрый вечер всем,greeting
приветик как ты,greeting
здорово давно не виделись,greeting
салют как жизнь,greeting
хай как дела,greeting
здрасти,greeting
приветствую вас всех,greeting
доброго дня,greeting
здравствуйте рада видеть,greeting
привет рад встрече,greeting
здравствуй давно не виделись,greeting
добрый день рад вас видеть,greeting
пока,goodbye
до свидания,goodbye
всего доброго,goodbye
до встречи,goodbye
прощай,goodbye
увидимся,goodbye
всего хорошего,goodbye
бывай,goodbye
счастливо,goodbye
до скорого,goodbye
до связи,goodbye
пока пока,goodbye
пока увидимся,goodbye
до завтра,goodbye
до вечера,goodbye
до скорой встречи,goodbye
прощайте,goodbye
всех благ,goodbye
удачи,goodbye
счастливого пути,goodbye
всего наилучшего,goodbye
до новых встреч,goodbye
пока всего хорошего,goodbye
до свидания удачи,goodbye
прощай до встречи,goodbye
бывай здоров,goodbye
счастливо оставаться,goodbye
до скорого свидания,goodbye
увидимся позже,goodbye
пока до связи,goodbye
сколько времени,time
который час,time
какое сейчас время,time
сколько сейчас часов,time
скажите время,time
время,time
текущее время,time
точное время,time
скажите который час,time
сколько сейчас времени,time
какой час,time
который час сейчас,time
часы покажи,time
время сейчас,time
во сколько сейчас,time
текущий час,time
скажите сколько времени,time
подскажите время,time
узнать время,time
какое время суток,time
сейчас день или ночь,time
сколько время сейчас,time
во сколько час,time
который сейчас час,time
часы,time
время московское,time
время местное,time
сколько времени на часах,time
какой сейчас час,time
часы показывают,time
подскажите который час,time
скажите точное время,time
какая дата,date
какое сегодня число,date
сегодняшняя дата,date
число сегодня,date
какой день,date
какое сегодня число месяца,date
какое сегодня число и месяц,date
сегодня какое число,date
число,date
дата сегодня,date
скажите дату,date
какой сегодня день,date
какое сегодня,date
сегодня какое число,date
подскажите дату,date
сегодняшнее число,date
дата какая,date
какой день сегодня,date
число и месяц,date
сегодня какой день,date
какая сегодня дата,date
сегодня число,date
сегодняшний день,date
какое число сегодня,date
день недели,date
сегодня какой день недели,date
какой день недели сегодня,date
день,date
какой сегодня день недели,date
сегодня день недели,date
какой год,year
который год,year
сейчас какой год,year
какой сейчас год,year
год,year
текущий год,year
какой год на дворе,year
который год сейчас,year
в каком году живем,year
скажите год,year
год сейчас,year
какой год сейчас,year
текущий год какой,year
год какой,year
подскажите год,year
который год на дворе,year
в каком году мы живем,year
сейчас год,year
напишите год,year
узнать год,year
какой сейчас год по счету,year
как дела,how_are_you
как ты,how_are_you
как настроение,how_are_you
как поживаешь,how_are_you
что нового,how_are_you
как сам,how_are_you
как делишки,how_are_you
как оно,how_are_you
как ты там,how_are_you
как жизнь,how_are_you
как у тебя дела,how_are_you
как у тебя,how_are_you
как ты поживаешь,how_are_you
как самочувствие,how_are_you
как ваши дела,how_are_you
как вы,how_are_you
что слышно,how_are_you
как успехи,how_are_you
как продвигается,how_are_you
как настроение у тебя,how_are_you
как жизнь молодая,how_are_you
как поживаете,how_are_you
как жить можно,how_are_you
как живется,how_are_you
как дела у тебя,how_are_you
как делишки твои,how_are_you
как самочувствие у тебя,how_are_you
как настроение сегодня,how_are_you
как у тебя жизнь,how_are_you
как вы поживаете,how_are_you
какие новости,how_are_you
что нового у тебя,how_are_you
как твое настроение,how_are_you
как ваше настроение,how_are_you
какая погода,weather
что с погодой,weather
погода на сегодня,weather
какая температура,weather
сколько градусов,weather
будет ли дождь,weather
есть ли осадки,weather
погодные условия,weather
расскажи погоду,weather
расскажи про погоду,weather
погоду расскажи,weather
как на улице,weather
что на улице,weather
какая погода сегодня,weather
погода за окном,weather
температура на улице,weather
какой прогноз погоды,weather
что с погодой сегодня,weather
какая погода сейчас,weather
на улице холодно,weather
на улице тепло,weather
идет дождь,weather
солнечно,weather
ветер какой,weather
погода на завтра,weather
прогноз на сегодня,weather
будет снег,weather
осадки будут,weather
температура воздуха,weather
сколько градусов тепла,weather
сколько градусов мороза,weather
какая погода в городе,weather
погода как,weather
что там с погодой,weather
